,School,School Max Group,School Count Group
765,Chandler,2,3
766,Williams Field,1,1
767,Zachary,1,2
768,Montgomery Catholic Preparatory,1,3
769,South Oak Cliff,1,3
770,Gulliver Prep,1,4
771,Chartiers Valley,1,1
772,Leo Junior/senior,1,1
773,Brighton,1,1
774,Frontenac,1,1
775,Mansfield Timberview,1,1
776,Mandeville,1,1
777,Southlake Carroll,1,2
778,Bishop Alemany,1,5
779,Norcross,1,2
780,Milton,1,7
781,Mater Dei,2,9
783,Tampa Catholic,1,2
784,Boone,1,1
785,Dexter School,1,2
789,Raytown,1,1
790,Scranton Prep,1,1
791,Neville,1,3
792,Madisonville,1,1
793,Hill Murray School,1,1
795,Clearwater Academy International,1,4
796,Henry County,1,1
797,New Palestine,1,1
798,Avon,1,1
799,Bixby,1,1
800,Findlay,1,1
801,East St. Louis,2,4
802,Junipero Serra,2,4
803,DeSmet,1,1
804,Heritage Academy,1,2
806,South Paulding,1,1
807,Los Alamitos,8,2
808,John Paul II Catholic,1,1
809,Lincoln East,1,1
810,Los Alamitos,8,2
811,North Cobb,1,7
812,Shelby,1,1
813,Jefferson,1,3
814,Lee County,1,3
815,Walter Panas,1,1
816,Todd Beamer,1,1
817,Jones,1,1
818,Lakota West,1,3
819,South Oak Cliff,1,3
820,Buford,2,6
821,Pacifica,1,1
822,Montgomery Bell Academy,1,2
823,Hun School,1,2
824,Walton,1,2
825,Columbia,1,2
826,Conroe,1,2
827,Nease,1,1
828,Grovetown,1,1
829,Gaither,1,2
830,American Heritage,1,6
831,Dorman,1,1
832,Naaman Forest,1,1
833,Rabun Gap-Nacoochee School,1,1
836,St. Charles,1,1
837,North Cobb,1,7
838,Atlantic,1,1
839,Rome,1,2
840,Rome,1,2
841,Cardinal Ritter College Prep,1,1
842,American Heritage,1,6
843,Servite,1,4
845,East Liverpool,1,1
846,McDonogh School,1,4
847,St. Thomas Aquinas,1,6
848,St. John Bosco,1,12
849,Riverbend,1,1
850,Oaks Christian,1,1
851,Lawrence Academy,1,2
852,Klein Cain,1,3
853,Creekside,1,1
854,West Orange,1,3
855,Milton,1,7
856,Warren Township,1,1
857,Cleveland Heights,1,1
858,Shadow Creek,1,3
859,Broken Arrow,1,2
861,Elkhorn South,1,1
862,Park City,1,2
863,Reedy,1,1
864,Lincoln Christian School,1,1
865,Lee's Summit,1,1
866,Greenville,1,3
867,Central Dauphin East,1,1
868,King George,1,1
869,Kennedy Catholic,1,1
870,Bartram Trail,1,1
871,Bellevue West,1,2
872,Booker T. Washington,1,3
874,J.H. Rose,1,1
876,Grayson,1,3
877,St. Frances Academy,1,9
878,Rowlett,1,1
879,Temple,1,2
880,East St. Louis,2,4
881,Mount Pleasant,1,1
882,Pace Academy,1,1
883,Oceanside Collegiate Academy,1,1
884,Sumter,1,2
885,Carthage,1,1
886,Blair Academy,1,2
887,Hardaway,1,1
888,Franklin,1,2
889,Ravenwood,1,2
890,Belleville,1,4
891,Eastern Randolph,1,1
892,Clovis,1,1
893,St. John Bosco,1,12
894,South Forsyth,1,1
895,Edison,1,4
896,Good Counsel,1,2
897,Allen,1,2
898,Bryan,1,1
899,Hamilton,2,2
901,Seminole County,1,1
902,Flower Mound,2,1
903,Blue Valley,1,2
904,Flagstaff,1,1
905,Governor Mifflin,1,1
906,Maumelle,1,2
907,Long Beach Poly,8,3
908,Apopka,1,1
909,Bishop Alemany,1,5
910,Servite,1,4
911,Rolesville,1,1
912,Clear Springs,1,1
913,Colonial Forge,1,1
914,Catholic Central,1,1
915,Woodrow Wilson,1,2
916,Archbishop Carroll,1,2
