Height_in_Inches,Weight_in_Kg,Followers Instagram,Followers Tiktok,Followers Twitter,School Max Group,School Count Group,Hometown Max Group,Hometown Count Group
72,195,909,0,0,1,4,1,1
77,315,2100,0,0,1,1,1,1
70,175,21000,7900,4800,1,1,2,2
74,180,3600,0,0,1,1,1,1
77,285,3200,106,3300,1,3,1,1
77,230,5100,320,1900,1,1,1,1
80,347,5400,49000,3800,1,1,1,1
78,225,2600,0,0,3,6,3,3
73,191,4300,0,0,2,6,2,2
74,210,14200,23,9900,2,1,2,2
79,285,2100,0,0,1,1,1,1
75,282,805,0,0,1,1,1,1
76,296,3500,0,0,3,6,3,3
73,189,10600,0,0,2,9,2,2
77,300,2300,257,974,1,1,1,1
77,222,2200,0,0,1,2,1,1
77,257,3300,834,1200,1,2,1,1
74,214,2700,1600,1000,1,4,1,1
73,165,16800,0,0,2,5,2,2
71,185,69000,4200,6700,3,1,3,3
74,186,1400,0,0,1,2,1,1
74,305,4200,19200,2800,1,2,1,1
78,200,5400,0,0,2,9,2,2
74,270,1600,39000,1600,1,2,1,1
74,239,226,0,0,1,1,1,1
74,200,16500,395000,1500,3,2,3,3
75,175,3700,0,0,1,6,1,1
76,220,878,0,0,1,1,1,1
75,194,1500,1100,1700,1,1,1,1
72,190,5300,0,0,1,1,1,1
74,192,170,0,0,1,2,1,1
74,305,2000,1200,1100,1,1,1,1
73,175,9700,304,2700,1,1,1,1
70,204,18500,7500,7300,1,1,1,1
75,215,1,0,0,1,2,1,1
76,230,1400,0,0,1,2,1,1
77,255,6600,3000,4900,1,4,1,1
76,285,5800,0,0,1,3,1,1
74,187,3700,0,0,1,1,1,1
75,220,2200,0,0,1,1,1,1
76,255,9900,709,2700,1,1,1,1
77,293,1300,0,0,1,2,1,1
75,210,10500,165,2700,1,3,1,1
74,215,2800,0,0,1,1,1,1
72,180,4000,10700,1500,1,6,1,1
74,195,17900,4600,8300,2,1,2,2
72,195,2400,0,0,1,1,1,1
78,255,784,177,314,1,1,3,3
77,225,2500,174,2400,1,1,1,1
75,205,15700,304,7000,2,2,1,1
77,228,23000,8800,6900,3,2,3,3
77,287,4000,46,2100,2,5,2,2
76,330,5600,0,0,1,1,1,1
79,266,8800,987,3600,1,2,1,1
76,270,7000,0,0,1,2,1,1
74,235,3400,0,0,1,3,1,1
75,265,11800,101,5200,2,35,1,1
77,290,988,0,0,1,1,1,1
73,185,5700,2100,3400,1,2,1,1
78,210,2500,6,3500,1,2,1,1
72,180,26000,50000,4500,1,3,3,3
72,176,7000,3600,2400,8,3,8,8
73,190,10500,0,0,2,35,1,1
77,326,2200,121,3600,2,35,1,1
76,260,5900,0,0,1,1,1,1
75,188,2600,0,0,1,2,1,1
74,215,5000,14,1100,1,4,2,2
72,178,45000,0,0,2,1,2,2
73,222,3900,409,2300,1,2,1,1
76,295,3000,11,1300,1,1,1,1
72,178,1900,1,1400,1,2,1,1
77,315,1200,138,1800,1,1,1,1
72,180,12400,1100,8000,1,1,2,2
72,198,12600,0,0,1,7,1,1
75,224,434,0,0,1,2,1,1
78,357,2900,358,3000,1,1,2,2
74,208,1300,0,0,1,2,1,1
75,225,2200,0,0,1,2,1,1
75,274,936,48,473,1,1,1,1
75,208,10400,0,0,1,1,1,1
76,270,5400,262,4100,1,3,1,1
76,250,7300,0,0,1,9,1,1
75,295,2600,44,1200,2,2,7,7
75,230,2200,0,0,1,2,1,1
71,173,5000,21,1100,1,4,1,1
77,265,1800,22000,2000,1,4,1,1
73,175,8200,0,0,2,35,1,1
78,222,2500,0,0,1,2,1,1
75,207,1,652,3700,1,2,1,1
74,220,10700,0,0,1,1,1,1
77,220,2100,0,0,1,4,2,2
74,196,9300,0,0,1,2,1,1
72,192,4300,45,1400,1,7,1,1
76,225,1800,1,1000,1,2,2,2
73,189,6900,1500,5900,1,1,1,1
75,325,13800,0,0,1,1,1,1
74,201,3600,0,0,1,1,1,1
77,280,2200,1300,814,1,1,1,1
70,175,7600,252,3800,1,1,1,1
74,205,7700,1,2700,1,1,2,2
70,190,8200,731,6500,1,3,1,1
74,201,1300,0,0,1,1,1,1
71,189,11500,26000,2400,1,1,1,1
74,210,1700,488,630,1,1,1,1
76,300,1100,0,0,1,1,1,1
76,225,3400,1500,7300,2,2,2,2
73,211,1400,1,1800,1,1,1,1
77,194,1,0,0,1,1,1,1
74,215,11000,933,8500,1,1,1,1
77,300,2900,3500,2400,1,4,1,1
73,204,2100,0,0,1,2,3,3
76,275,5300,513,2600,1,1,1,1
76,226,1400,0,0,1,1,1,1
78,230,3100,0,0,1,1,1,1
74,204,3400,0,0,1,1,1,1
72,164,1500,0,0,1,1,1,1
74,190,3000,4300,1500,1,1,1,1
69,165,6800,8500,4700,1,1,1,1
75,200,3600,0,0,1,2,1,1
73,220,3200,127,3300,1,1,1,1
75,210,4900,0,0,2,3,2,2
70,180,2600,0,0,1,2,1,1
77,274,472,0,0,1,1,1,1
73,206,2600,0,0,1,1,1,1
72,161,20000,110,4100,1,6,1,1
75,350,7100,0,0,1,12,1,1
0,0,16600,0,0,1,3,1,1
72,225,7300,0,0,1,1,1,1
74,207,2600,0,0,1,3,1,1
74,159,2900,0,0,1,2,1,1
75,225,2100,50,3200,1,2,1,1
78,228,4100,4300,2500,1,1,1,1
77,230,8100,8800,1400,2,9,2,2
77,230,4800,1100,2000,2,9,2,2
73,165,3400,0,0,1,1,1,1
74,225,2000,0,0,1,3,1,1
73,170,4200,2700,1400,1,4,2,2
78,306,4700,0,0,1,4,1,1
77,364,1400,20,1200,1,4,1,1
71,187,7600,171,2600,1,2,1,1
71,175,7100,1,2500,2,35,1,1
79,370,144,0,0,1,1,1,1
75,240,120,0,0,1,4,1,1
73,220,13100,16300,5300,1,1,1,1
76,331,5400,0,0,1,1,1,1
73,195,18100,7400,4100,1,1,1,1
72,185,10300,0,0,1,1,1,1
73,170,2500,0,0,1,1,1,1
76,225,12100,1,1,1,4,1,1
75,234,2500,545,2000,2,9,2,2
75,171,2600,84,1700,1,5,1,1
73,250,22000,0,0,1,3,1,1
72,240,4400,1,850,1,1,1,1
75,275,3400,622,1100,1,1,1,1
75,205,2200,196,2500,1,2,1,1
74,220,1400,0,0,1,1,1,1
77,287,2900,0,0,1,4,1,1
79,230,3100,0,0,3,6,3,3
71,162,6800,2700,3700,1,1,1,1
80,301,1100,65,1300,1,2,1,1
77,290,1300,0,0,1,2,1,1
74,231,2200,0,0,1,8,1,1
72,194,3900,0,0,2,9,2,2
74,295,2100,1100,1900,1,2,1,1
79,275,4000,32000,2100,1,2,1,1
80,315,140,0,0,1,2,1,1
77,327,827,0,0,2,35,1,1
74,227,4600,0,0,1,4,2,2
72,201,2600,0,0,2,8,1,1
76,230,5800,0,0,1,1,1,1
75,280,6300,0,0,1,1,2,2
74,174,3100,211,2200,1,1,1,1
74,200,4700,0,0,1,2,1,1
75,245,53000,0,0,1,2,1,1
71,164,7900,0,0,1,3,1,1
77,274,3900,0,0,1,3,1,1
71,185,11100,13000,3800,1,1,1,1
72,199,3100,441,3200,1,5,1,1
